pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,events,description,bb_type,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,pitch_name
FF,9/28/2021,97.3,-1.48,5.59,"Rosario, Eddie",field_out,hit_into_play,ground_ball,6,96.8,-22,99.4,2411,7.4,4-Seam Fastball
SI,4/9/2021,97.3,-1.51,5.75,"Acuña Jr., Ronald",field_out,hit_into_play,line_drive,325,95.6,19,98.9,2169,7.1,Sinker
SI,9/29/2021,97.3,-2,6.09,"Swanson, Dansby",single,hit_into_play,ground_ball,112,68.7,11,97.5,1989,6.4,Sinker
FF,9/15/2021,97.3,-2.12,5.84,"Freeman, Freddie",field_out,hit_into_play,fly_ball,382,107.6,24,96.9,2182,6.3,4-Seam Fastball
FF,5/13/2021,97.3,2.12,5.46,"Biggio, Cavan",double,hit_into_play,line_drive,342,105.6,17,97.1,2352,6.1,4-Seam Fastball
FF,4/23/2021,97.3,-0.6,6.67,"Peralta, David",field_out,hit_into_play,ground_ball,62,92.6,1,96.6,2093,6.2,4-Seam Fastball
FF,4/28/2021,97.3,-0.86,6.68,"Rizzo, Anthony",single,hit_into_play,line_drive,255,83.4,18,97.8,2321,6.3,4-Seam Fastball
FF,4/29/2021,97.3,-0.79,6.52,"d'Arnaud, Travis",field_out,hit_into_play,ground_ball,2,88.5,-36,98,2504,6.9,4-Seam Fastball
FF,6/16/2021,97.3,1.87,6.4,"Martinez, J.D.",single,hit_into_play,line_drive,241,106.8,13,97.9,2528,6.5,4-Seam Fastball
SI,6/15/2021,97.3,-1.24,5.71,"Riley, Austin",field_out,hit_into_play,ground_ball,1,54.1,-64,99.3,2220,7.4,Sinker
FF,4/26/2021,97.3,2.2,5.48,"Marisnick, Jake",field_out,hit_into_play,popup,138,74.8,68,96.6,2451,6.1,4-Seam Fastball
FF,6/1/2021,97.3,1.95,6.14,"Castro, Starlin",single,hit_into_play,ground_ball,38,63.9,2,97.2,2635,6.2,4-Seam Fastball
FF,8/28/2021,97.2,-0.98,6.67,"Wade Jr., LaMonte",field_out,hit_into_play,fly_ball,361,90.5,32,97,2135,6,4-Seam Fastball
FF,8/28/2021,97.2,-0.72,6.46,"Yastrzemski, Mike",field_out,hit_into_play,popup,192,85.3,55,96.9,2157,6.2,4-Seam Fastball
FF,8/23/2021,97.2,-0.74,6.65,"Odor, Rougned",field_out,hit_into_play,fly_ball,211,95,62,97.2,2118,6.1,4-Seam Fastball
FF,7/16/2021,97.2,1.87,5.5,"Franco, Wander",triple,hit_into_play,fly_ball,328,89.5,29,97.3,2339,6.2,4-Seam Fastball
FF,9/14/2021,97.2,-2.13,5.69,"Soler, Jorge",field_out,hit_into_play,fly_ball,265,94.7,52,97.4,2165,6.5,4-Seam Fastball
FF,5/20/2021,97.2,-2.21,5.93,"Freeman, Freddie",single,hit_into_play,fly_ball,250,71.8,38,98.1,2323,6.6,4-Seam Fastball
FF,8/7/2021,97.2,-1.26,6.01,"Vogt, Stephen",field_out,hit_into_play,ground_ball,77,98.6,4,97.9,2211,6.9,4-Seam Fastball
FF,7/31/2021,97.2,-1.23,6.08,"Soler, Jorge",single,hit_into_play,popup,200,63.1,28,98.2,2304,6.5,4-Seam Fastball
FF,5/19/2021,97.2,-2.05,5.87,"Ozuna, Marcell",field_out,hit_into_play,ground_ball,56,100.8,2,97.4,2423,6.1,4-Seam Fastball
SI,8/7/2021,97.2,-1.7,5.69,"Vogt, Stephen",field_out,hit_into_play,fly_ball,303,92.3,43,97.9,2193,6.8,Sinker
